Date,LocalName,Name,Fixed,
2024-01-01,novo leto,New Year's Day,True,
2024-01-02,novo leto,New Year's Day,True,
2024-02-08,Prešernov dan,Prešeren Day,True,
2024-03-31,velikonočna nedelja,Easter Sunday,False,
2024-04-01,velikonočni ponedeljek,Easter Monday,False,
2024-04-27,dan upora proti okupatorju,Day of Uprising Against Occupation,True,
2024-05-01,praznik dela,May Day Holiday,True,
2024-05-02,praznik dela,May Day Holiday,True,
2024-05-19,"binkoštna nedelja, binkošti",Pentecost,False,
2024-06-25,dan državnosti,Statehood Day,True,
2024-08-15,Marijino vnebovzetje,Assumption Day,True,
2024-10-31,dan reformacije,Reformation Day,True,
2024-11-01,dan spomina na mrtve,Day of the Dead,True,
2024-12-25,božič,Christmas Day,True,
2024-12-26,dan samostojnosti in enotnosti,Independence and Unity Day,True,
2025-04-20,velikonočna nedelja,Easter Sunday,False,
2025-04-21,velikonočni ponedeljek,Easter Monday,False,
